"symbol","name","exchange","cik"
"TTP","TITAN PHARM","AMEX","0000910267"
"TOF","TOFUTTI BRANDS","AMEX","0000730349"
"TMP","TOMPKINSTRUST","AMEX","0001005817"
"TIL","TRANS INDIA ACQ","AMEX","1370433"
"TLX","TRANS-LUX CORP","AMEX","0000099106"
"TAQ","TRANSFORMA ACQUISITION GROUP ORD","AMEX","1374346"
"TGA","TRANSGLOBE ENERGY ORD","AMEX","0000736744"
"TMY","TRANSMERIDIAN EX ORD","AMEX","0001132645"
"TFN","TRANSNATL FINL","AMEX","0001059579"
"TA","TRAVELCENTERS OF AMERICA ORD","AMEX","1378453"
"TIV","TRI VALLEY ORD","AMEX","0000022551"
"TRT","TRIO-TECH INTL","AMEX","0000732026"
"TCX","TUCOWS ORD","AMEX","909494"
"TTG","TUTOGEN MEDICAL","AMEX","0000816949"
"DDM","ULTRA DOW30 PROSHARES ETF","AMEX","1390829"
"MVV","ULTRA MIDCAP400 PROSHARES ETF","AMEX","1256427"
"UPL","ULTRA PETROLEUM ORD","AMEX","0001022646"
"QLD","ULTRA QQQ PROSHARES ETF","AMEX","0001059250"
"SSO","ULTRA S&P500 PROSHARES ETF","AMEX","921638"
"DXD","ULTRASHORT DOW30 PROSHARES ETF","AMEX","1095642"
"SKF","ULTRASHORT FINANCIALS PROSHARES ETF","AMEX","777504"
"MZZ","ULTRASHORT MIDCAP400 PROSHARES ETF","AMEX","NULL"
"SDS","ULTRASHORT S&P500 PROSHARES ETF","AMEX","0000789388"
"UMH","UMH PROPERTIES","AMEX","0000752642"
"UNB","UNION BNKSHRS","AMEX","0000706863"
"USQ","UNION STREET ACQUISITION ORD","AMEX","1370618"
"AFP","UNITED CAPITAL","AMEX","0000065358"
"UG","UNITED GUARDIAN","AMEX","0000101295"
"UNG","UNITED STATES NATURAL GAS ETF","AMEX","1376227"
"UTL","UNITIL CORP","AMEX","0000755001"
"UUU","UNIV SEC INSTR","AMEX","0000102109"
"UPG","UNIVERSAL POWER GROUP ORD","AMEX","1372000"
"USO","UNTD ST OIL FUND","AMEX","1327068"
"UQM","UQM TECHNOLOGIES","AMEX","0000315449"
"URZ","URANERZ ENERGY ORD","AMEX","1162324"
"UPI","UROPLASTY ORD","AMEX","0000890846"
"USM","US CELLULAR ORD","AMEX","0000821130"
"UDW","US DATAWORKS","AMEX","0001049505"
"UXG","US GOLD ORD","AMEX","0000314203"
"UTK","UTEK CORP","AMEX","0001098482"
"UTH","UTILITIES HOLDRS","AMEX","774214"
"XLU","UTILITIES SELECT SPDR ETF","AMEX","0001113670"
"VKL","V KAMP SEL","AMEX","912022"
"VMV","V KAMPEN MA","AMEX","890515"
"VPF","VALPEY FISHER CP","AMEX","0000085608"
"VKI","VAN KAM ADV MUN","AMEX","908993"
"VCR","VANGUARD CONSUMER DISCRETIONARY ETF","AMEX","784721"
"VDC","VANGUARD CONSUMER STAPLES ETF","AMEX","52848"
"VIG","VANGUARD DIVIDEND APPRECIATION ETF","AMEX","849135"
"VWO","VANGUARD EMERGING MARKETS ETF","AMEX","1351361"
"VDE","VANGUARD ENERGY ETF","AMEX","1233702"
"VGK","VANGUARD EUROPEAN ETF","AMEX","1212531"
"VXF","VANGUARD EXTENDED MARKET ETF","AMEX","0001348831"
"VFH","VANGUARD FINANCIALS ETF","AMEX","1182657"
"VEU","VANGUARD FTSE ALL WORLD EX US ETF","AMEX","1277033"
"VUG","VANGUARD GROWTH ETF","AMEX","819799"
"VHT","VANGUARD HEALTH CARE ETF","AMEX","1338346"
"VYM","VANGUARD HIGH DIVIDEND YIELD ETF","AMEX","910347"
"VIS","VANGUARD INDUSTRIALS ETF","AMEX","354611"
"VGT","VANGUARD INFORMATION TECHNOLOGY ETF","AMEX","1386780"
"BIV","VANGUARD INTERMEDIATE TERM BOND ETF","AMEX","1028205"
"VV","VANGUARD LARGE-CAP ETF","AMEX","1340325"
"BLV","VANGUARD LONG TERM BOND ETF","AMEX","1226445"
"VAW","VANGUARD MATERIALS ETF","AMEX","1205979"
"VO","VANGUARD MID-CAP ETF","AMEX","88188"
"VOT","VANGUARD MID-CAP GROWTH ETF","AMEX","902754"
"VOE","VANGUARD MID-CAP VALUE ETF","AMEX","1058648"
"VPL","VANGUARD PACIFIC ETF","AMEX","1129787"
"VNQ","VANGUARD REIT ETF","AMEX","0001348831"
"BSV","VANGUARD SHORT TERM BOND ETF","AMEX","1230443"
"VB","VANGUARD SMALL-CAP ETF","AMEX","1388410"
"VBK","VANGUARD SMALL-CAP GROWTH ETF","AMEX","1237578"
"VBR","VANGUARD SMALL-CAP VALUE ETF","AMEX","1160696"
"VOX","VANGUARD TELECOMMUNICATION SERVC ETF","AMEX","807707"
"BND","VANGUARD TOTAL BOND MARKET ETF","AMEX","0001352180"
"VTI","VANGUARD TOTAL STOCK MARKET ETF","AMEX","885551"
"VPU","VANGUARD UTILITIES ETF","AMEX","0001348831"
"VTV","VANGUARD VALUE ETF","AMEX","1086736"
"PTT","VCG HOLDING ORD","AMEX","0001172852"
"VNX","VENDINGDATA CORP ORD","AMEX","0001004673"
"VCC","VERI-TEK INTL ORD","AMEX","1302028"
"VPS","VERMONT PURE HLD","AMEX","0001123316"
"VSR","VERSAR INC","AMEX","0000803647"
"VII","VICON INDS INC","AMEX","0000310056"
"VRA","VIRAGEN ORD","AMEX","0000353482"
"VIR","VIRCO MFG","AMEX","0000751365"
"REX","VIREXX MEDICAL ORD","AMEX","1275011"
"VGZ","VISTA GOLD ORD","AMEX","0000783324"
"VSF","VITA FOOD PROD","AMEX","0001024342"
"ECN","WACHOVIA PRIN NTS LKD BASKET EMERMKT","AMEX","1003512"
"TSV","WACHOVIA SP 500","AMEX","36995"
"WSB","WASHINGTON SVGS","AMEX","1372791"
"WSO.B","WATSCO INC B","AMEX","105016"
"AWO","WC PR PRT BASKET","AMEX","1182847"
"WLC","WELLCO ENTR","AMEX","0000105532"
"WGA","WELLS-GARDNER","AMEX","0000105608"
"WRP","WELLSFORD REAL","AMEX","0001038222"
"WSC","WESCO FINANCIAL","AMEX","0000105729"
"SBI","WESTERN ASSET INTERMEDIATE MUNI CF","AMEX","882300"
"WFD","WESTFIELD FINANCIAL ORD","AMEX","0001157647"
"WLB","WESTMORELND COAL","AMEX","0000106455"
"WHT","WESTSIDE ENERGY ORDINARY","AMEX","0001142746"
"RVR","WHITE RIVER CAPITAL ORD","AMEX","1318545"
"WYY","WIDEPOINT ORD","AMEX","0001034760"
"GIW","WILBER","AMEX","709942"
"WOC","WILSHIRE ENTRPSE","AMEX","0000107454"
"WEX","WINLAND ELECTRC","AMEX","0000749935"
"WTT","WIRELESS TEL","AMEX","0000878828"
"XWG","WIRELESS XRS GRP","AMEX","1005504"
"EPS","WISDOMTREE EARNINGS 500 ETF","AMEX","1293959"
"EEZ","WISDOMTREE EARNINGS TOP 100 ETF","AMEX","0001360025"
"EZY","WISDOMTREE LOW P/E ETF","AMEX","1040550"
"EZM","WISDOMTREE MIDCAP EARNINGS ETF","AMEX","0001186773"
"EES","WISDOMTREE SMALLCAP EARNINGS ETF","AMEX","1186268"
"EXT","WISDOMTREE TOTAL EARNINGS ETF","AMEX","1012881"
"BZI","XELR8 HOLDINGS ORD","AMEX","0001134765"
"XNN","XENONICS HOLD ORD","AMEX","1289550"
"XNL","XETHANOL ORD","AMEX","1145061"
"XFN","XFONE ORD","AMEX","1126216"
"YMI","YM BIOSCI ORD","AMEX","0001178347"
"ZTM","Z TRIM HOLDINGS ORD","AMEX","1052257"
"ZN","ZION OIL & GAS","AMEX","1131312"
"OIIM","02MICRO INTERNAT","NASDAQ","0001095348"
"CTAC","1 800 CONTACTS","NASDAQ","0001050122"
"FLWS","1800FLOWERS.COM","NASDAQ","0001084869"
"FCCY","1ST CONSTITUTIN","NASDAQ","0001141807"
"FIFG","1ST IND FINL GRP","NASDAQ","0000946738"
"TCHC","21ST CENT HLDG O","NASDAQ","0001069996"
"TFSM","24/7 REAL MEDIA","NASDAQ","0001062195"
"COMS","3COM ORD","NASDAQ","0000738076"
"TDSC","3D SYSTEMS ORD","NASDAQ","0000910638"
"SSRX","3SBIO ADR","NASDAQ","0001383790"
"JOBS","51JOB ADS","NASDAQ","0001295484"
"EGHT","8X8 INC","NASDAQ","0001023731"
"ASVI","A S V INC ORD","NASDAQ","0000926763"
"SHLM","A SCHULMAN ORD","NASDAQ","0000087565"
"SWAT","A4S SECURITY ORD","NASDAQ","0001216199"
"AAON","AAON INC","NASDAQ","0000824142"
"ASTM","AASTROM BIOSCIEN","NASDAQ","0000887359"
"ABIX","ABATIX ORD","NASDAQ","0000845779"
"ABAX","ABAXIS ORD","NASDAQ","0000881890"
"ABER","ABER DIAMOND","NASDAQ","0000841071"
"AANB","ABIGAIL ADAMS OR","NASDAQ","0000356809"
"ABBC","ABINGTON CTY BCP","NASDAQ","0001292898"
"ABMD","ABIOMED ORD","NASDAQ","0000815094"
"ABBI","ABRAXIS BIOSCIEN","NASDAQ","0001141399"
"ABXA","ABX AIR ORD","NASDAQ","0000894081"
"ACMR","AC MOORE ARTS OR","NASDAQ","0001042809"
"ACTG","ACACIA TECHS","NASDAQ","0000934549"
"ACAD","ACADIA PHARM ORD","NASDAQ","0001070494"
"ACCL","ACCELRYS ORD","NASDAQ","0001002388"
"ABPI","ACCENTIA BIOPHAR","NASDAQ","0001310094"
"AIXD","ACCESS INTEGRATE","NASDAQ","0001173204"
"ANCX","ACCESS NATIONAL","NASDAQ","0001176316"
"AUSA","ACCESS PLANS USA","NASDAQ","0001017440"
"LEND","ACCR HOME LENDRS","NASDAQ","0001174735"
"ARAY","ACCURAY ORD","NASDAQ","0001138723"
"ACEC","ACE COMM ORD","NASDAQ","0001017526"
"ACGY","ACERGY ADR","NASDAQ","0000898685"
"ACET","ACETO ORD","NASDAQ","0000002034"
"ACHN","ACHILION PHARMA","NASDAQ","0001070336"
"ACME","ACME COMMS ORD","NASDAQ","0001092013"
"APKT","ACME PACKET ORD","NASDAQ","0001130258"
"ACOR","ACORDA THERAPEUT","NASDAQ","0001008848"
"ACSEF","ACS MOTION CNTRL","NASDAQ","0001038144"
"ACTL","ACTEL ORD","NASDAQ","0000907687"
"APII","ACTION PRODS","NASDAQ","0000747435"
"ACTS","ACTIONS SEMICOND","NASDAQ","0001342068"
"ACPW","ACTIVE POWER","NASDAQ","0001044435"
"ACTI","ACTIVIDENTITY","NASDAQ","0001183941"
"ATVI","ACTIVISION ORD","NASDAQ","0000718877"
"ACTU","ACTUATE ORD","NASDAQ","0001062478"
"ACUS","ACUSPHERE INC OR","NASDAQ","0001115143"
"ACXM","ACXIOM ORD","NASDAQ","0000733269"
"ADES","ADA-ES","NASDAQ","0001223112"
"ADAM","ADAM ORD","NASDAQ","0001012855"
"ARXT","ADAMS RESP ORD","NASDAQ","0001319439"
"ADPT","ADAPTEC ORD","NASDAQ","0000709804"
"ADCT","ADC TELECOM ORD","NASDAQ","0000061478"
"ADEP","ADEPT TECHNOLOGY","NASDAQ","0000865415"
"ADZA","ADEZA BIOMEDICL","NASDAQ","0000902482"
"ADBE","ADOBE SYS ORD","NASDAQ","0000796343"
"ADLR","ADOLOR ORD","NASDAQ","0001076167"
"ADST","ADSTAR INC","NASDAQ","0001091599"
"ADTN","ADTRAN ORD","NASDAQ","0000926282"
"AERT","ADV ENVIR CL A","NASDAQ","849706"
"AATI","ADVANCED ANALOGC","NASDAQ","0001104042"
"AEIS","ADVANCED ENERGY","NASDAQ","0000927003"
"ADLS","ADVANCED LIFE OR","NASDAQ","0001322734"
"AMAG","ADVANCED MAGNETI","NASDAQ","0000792977"
"AVNC","ADVANCIS PHARMAC","NASDAQ","0001161924"
"ADVNB","ADVANTA B ORD","NASDAQ","0000096638"
"ADVNA","ADVANTA CP CL A","NASDAQ","0000096638"
"ADVS","ADVENT SOFTWARE","NASDAQ","0001002225"
"ABCO","ADVISORY BOARD","NASDAQ","0001157377"
"AVCA","ADVOCAT INC","NASDAQ","0000919956"
"AEHR","AEHR TEST SYS","NASDAQ","0001040470"
"AEPI","AEP INDS INC","NASDAQ","0000785787"
"ARXX","AEROFLEX ORD","NASDAQ","0000002601"
"AVAV","AEROVIRONMENT OR","NASDAQ","0001368622"
"AEZS","AETERNA ZENTARIS","NASDAQ","0001113423"
"ATRM","AETRIUM INC","NASDAQ","0000908598"
"AFCE","AFC ENTERPRISE","NASDAQ","0001041379"
"AFFM","AFFIRMATIVE INS","NASDAQ","0001282543"
"AFFY","AFFYMAX ORD","NASDAQ","0001158223"
"AFFX","AFFYMETRIX ORD","NASDAQ","0000913077"
"ATAC","AFTERMARKT TECH","NASDAQ","0000933405"
"AGIL","AGILE SOFTWARE O","NASDAQ","0001088653"
"AGYS","AGILYSYS ORD","NASDAQ","0000078749"
"AIRM","AIR METHODS ORD","NASDAQ","0000816159"
"AIRT","AIR T INC","NASDAQ","0001018356"
"AIRN","AIRSPAN NETWORKS","NASDAQ","0001105542"
"AIXG","AIXTRON AG ADR","NASDAQ","0001089496"
"AKAM","AKAMAI TECH ORD","NASDAQ","0001086222"
"AKRX","AKORN ORD","NASDAQ","3116"
"TRMD","AKTS DMPSK TRM","NASDAQ","0001168351"
"AKZOY","AKZO NOBEL ADR","NASDAQ","0000003124"
"ALAB","ALABAMA NATL","NASDAQ","0000926966"
"ALDN","ALADDIN KNOWL OR","NASDAQ","0000911364"
"ALAN","ALANCO TECH ORD","NASDAQ","0000098618"
"ALSK","ALASKA COMMS ORD","NASDAQ","0001089511"
"AMRI","ALBANY MOLECULAR","NASDAQ","0001065087"
"ALDA","ALDILA INC","NASDAQ","0000902272"
"ALEX","ALEX & BALDWIN O","NASDAQ","0000003453"
"ALXN","ALEXION PHARM OR","NASDAQ","0000899866"
"ALXA","ALEXZA PHARMACEU","NASDAQ","0001344413"
"ALFA","ALFA CORP","NASDAQ","0001091484"
"ACEL","ALFACELL CORP OR","NASDAQ","0000708717"
"ALCO","ALICO INC","NASDAQ","0001048685"
"ALGN","ALIGN TECHNOLOGY","NASDAQ","0001097149"
"ALKS","ALKERMES ORD","NASDAQ","0000874663"
"SEMI","ALL AMER SEMI","NASDAQ","0000818074"
"ALGT","ALLEGIANT TRAVEL","NASDAQ","0001362468"
"ALLB","ALLIANCE BANCORP","NASDAQ","1373079"
"ABVA","ALLIANCE BANKSH","NASDAQ","0001181001"
"AFOP","ALLIANCE FIBER","NASDAQ","0001122342"
"ALNC","ALLIANCE FINL OR","NASDAQ","0000796317"
"AHGP","ALLIANCE HLDG UN","NASDAQ","0001344980"
"ARLP","ALLIANCE RSC ORD","NASDAQ","0001086600"
"AHCI","ALLIED HEALTHCAR","NASDAQ","0000890634"
"AHPI","ALLIED HLTHCARE","NASDAQ","0000874710"
"AMOT","ALLIED MOTION OR","NASDAQ","0000046129"
"ALLI","ALLION HLTHCARE","NASDAQ","0000847935"
"ALTH","ALLOS THERAPEUTC","NASDAQ","0001097264"
"ALLT","ALLOT COMMUNICAT","NASDAQ","0001365767"
"ALOY","ALLOY ORD","NASDAQ","0001080359"
"MDRX","ALLSCRIPTS ORD","NASDAQ","0001124804"
"AFAM","ALMOST FAMILY OR","NASDAQ","0000799231"
"ALNY","ALNYLAM PHARM OR","NASDAQ","1178670"
"ATEC","ALPHATEC HLDGS","NASDAQ","0001350653"
"ALTI","ALTAIR NANOTECH","NASDAQ","0001016546"
"ALTR","ALTERA ORD","NASDAQ","0000768251"
"ATGN","ALTIGEN COMM","NASDAQ","0001003607"
"ATRS","ALTIRIS ORD","NASDAQ","0001139650"
"APSA","ALTO PALERMO","NASDAQ","0001128173"
"AIMC","ALTRA HOLDINGS O","NASDAQ","0001374535"
"ALTU","ALTUS PHARMACEUT","NASDAQ","0001340744"
"ALVR","ALVARION ORD","NASDAQ","0001108332"
"ABNJ","AM BANCORP NJ OR","NASDAQ","0001330039"
"AMMD","AM MEDICAL SYS O","NASDAQ","0001114200"
"AMRN","AMARIN DEPOSITOR","NASDAQ","0001120246"
"AMZN","AMAZON COM ORD","NASDAQ","0001018724"
"EPAX","AMBASSADORS GRP","NASDAQ","0001162315"
"AMIE","AMBASSADORS INTL","NASDAQ","0000946842"
"AMCP","AMCOMP","NASDAQ","0001009667"
"AMCR","AMCOR LTD ADR","NASDAQ","0000869428"
"AMFI","AMCORE FIN","NASDAQ","0000714756"
"AMED","AMEDISYS ORD","NASDAQ","0000896262"
"AMEN","AMEN PROPERTIES","NASDAQ","0001037599"
"AATK","AMER ACCESS","NASDAQ","0001043186"
"ABMC","AMER BIO MED","NASDAQ","0000896747"
"ACAS","AMER CAP STRAT O","NASDAQ","0000817473"
"CRMT","AMER CARMRT ORD","NASDAQ","0000799850"
"AMCE","AMER CLAIMS","NASDAQ","0000774517"
"ACBA","AMER COMM BNCSH","NASDAQ","0001106980"
"APRO","AMER FST APARTM","NASDAQ","0001175167"
"AMIC","AMER INDEPND CP","NASDAQ","0000097196"
"AMAC","AMER MEDICAL ORD","NASDAQ","0000700721"
"AMNB","AMER NATL BKSHR","NASDAQ","0000741516"
"ANAT","AMER NATL INS","NASDAQ","0000904163"
"APFC","AMER PACIFIC","NASDAQ","0000350832"
"AMPH","AMER PHYSICIAN","NASDAQ","0000724024"
"AMRB","AMER RIVER BKSHR","NASDAQ","0001108236"
"ASEI","AMER SCIENCE ORD","NASDAQ","0000005768"
"AMSWA","AMER SOFTWARE A","NASDAQ","0000713425"
"AMSC","AMER SUPERCOND O","NASDAQ","0000880807"
"ATCO","AMER TECH ORD","NASDAQ","0000886627"
"AMWD","AMER WOODMK","NASDAQ","0000794619"
"UHAL","AMERCO ORDINARY","NASDAQ","0000004457"
"ASBI","AMERIANA","NASDAQ","0000855574"
"AMOV","AMERICA MOVIL AD","NASDAQ","0001129137"
"ASGR","AMERICA SERVICE","NASDAQ","0000877476"
"AMBK","AMERICAN BANK OR","NASDAQ","0001052489"
"ACLI","AMERICAN COML OR","NASDAQ","0001324479"
"ADPI","AMERICAN DENTAL","NASDAQ","0001028087"
"ECOL","AMERICAN ECOL","NASDAQ","0000742126"
"AMGI","AMERICAN MOLD GU","NASDAQ","0001344708"
"ACAP","AMERICAN PHYSICI","NASDAQ","0001118148"
"ARII","AMERICAN RAILCAR","NASDAQ","0001344596"
"AWBC","AMERICANWEST","NASDAQ","0000726990"
"AMAB","AMERICASBANK ORD","NASDAQ","0001040491"
"ARGN","AMERIGON ORD","NASDAQ","0000903129"
"ABCB","AMERIS BANCORP","NASDAQ","0000351569"
"AMSF","AMERISAFE","NASDAQ","0000879957"
"ASRV","AMERISERV FINL O","NASDAQ","0000707605"
"ASCA","AMERISTAR CASINO","NASDAQ","0000912145"
"AMTC","AMERITRANS CAP","NASDAQ","0001064015"
"AMTY","AMERITYRE","NASDAQ","0000945828"
"ATLO","AMES NATL ORD","NASDAQ","0001132651"
"AMGN","AMGEN ORD","NASDAQ","0000318154"
"AMCS","AMICAS ORD","NASDAQ","0001028584"
"AMIS","AMIS HOLDINGS OR","NASDAQ","0001161963"
"AMKR","AMKOR TECHNOLOGY","NASDAQ","0001047127"
"AMPL","AMPAL AM ISRAEL","NASDAQ","0000731859"
"AMPX","AMPEX A ORD","NASDAQ","0000887433"
"AMSG","AMSURG CORP ORD","NASDAQ","0000895930"
"ASYS","AMTECH SYSTEMS","NASDAQ","0000720500"
"AFSI","AMTRUST FINANCIA","NASDAQ","0001365555"
"AMLN","AMYLIN ORD","NASDAQ","0000881464"
"ANAD","ANADIGICS ORD","NASDAQ","0000940332"
"ANDS","ANADYS PHARM ORD","NASDAQ","0001128495"
"ALOG","ANALOGIC CORP OR","NASDAQ","0001104042"
"ANLY","ANALYSTS INTL","NASDAQ","0000006292"
"ANEN","ANAREN ORD","NASDAQ","0000006314"
"ABCW","ANCHOR BANCORP O","NASDAQ","0000885322"
"ANDE","ANDERSONS ORD","NASDAQ","0000821026"
"ANDW","ANDREW ORD","NASDAQ","0001007546"
"ANSV","ANESIVA ORD","NASDAQ","1131517"
"ANGN","ANGEION CORP","NASDAQ","0000815093"
"ANGO","ANGIODYNAMICS OR","NASDAQ","0001275187"
"ANPI","ANGIOTECH PHARM","NASDAQ","0001096481"
"AAUK","ANGLO AMER","NASDAQ","1088370"
"ANIK","ANIKA THERAPEUT","NASDAQ","0000898437"
"AHII","ANIMAL HEALTH IN","NASDAQ","0001372813"
"ANNB","ANNAPOLIS BANCP","NASDAQ","0001041429"
"ANST","ANSOFT ORD","NASDAQ","0000849433"
"ANSW","ANSWERS ORD","NASDAQ","0001283073"
"ANSR","ANSWERTHINK ORD","NASDAQ","0001057379"
"ANSS","ANSYS ORD","NASDAQ","0001013462"
"AGEN","ANTIGENICS ORD","NASDAQ","0001098972"
"APPA","AP PHARMA INC","NASDAQ","0000818033"
"APAC","APAC CUST SVC","NASDAQ","0000949297"
"APAGF","APCO ARGENTINA","NASDAQ","311471"
"APOG","APOGEE ENTER ORD","NASDAQ","0000006845"
"APOL","APOLLO GROUP ORD","NASDAQ","0000929887"
"AINV","APOLLO INVSTMNT","NASDAQ","0001278752"
"AINN","APPL INNOVAT","NASDAQ","0000798399"
"APAB","APPLCHN BANCSHRS","NASDAQ","0001019883"
"AMCC","APPLD MICRO CIRC","NASDAQ","0000711065"
"AAPL","APPLE ORD","NASDAQ","0000320193"
"APPB","APPLEBEES INTL O","NASDAQ","0000853665"
"ARCI","APPLIANCE RECYC","NASDAQ","0000862861"
"ADSX","APPLIED DIGITAL","NASDAQ","0000924642"
"AMAT","APPLIED MATERIAL","NASDAQ","0000006951"
"APSG","APPLIED SIGNAL O","NASDAQ","0000741696"
"APLX","APPLIX ORD","NASDAQ","0000932112"
"APTM","APTIMUS INC ORD","NASDAQ","0001087277"
"AQNT","AQUANTIVE ORD","NASDAQ","0001071806"
"ARBX","ARBINET THEX ORD","NASDAQ","0001136655"
"ARCW","ARC WIRELESS SOL","NASDAQ","0000826326"
"ARCAF","ARCADIS NV","NASDAQ","0000913596"
"ACGL","ARCH CAPITAL GP","NASDAQ","0000947484"
"ACAT","ARCTIC CAT INC","NASDAQ","0000719866"
"ARDNA","ARDEN GRP INC","NASDAQ","0000225051"
"ARNA","ARENA PHARMACTCL","NASDAQ","0001080709"
"ARCC","ARES CAPITAL ETF","NASDAQ","0001287750"
"STST","ARGON ST ORD","NASDAQ","0000026537"
"AGII","ARGONAUT GRP","NASDAQ","0000800082"
"ARIA","ARIAD PHARM ORD","NASDAQ","0000884731"
"ARBA","ARIBA ORD","NASDAQ","0001084755"
"RAMS","ARIES MARITIME T","NASDAQ","0001322587"
"ARTL","ARISTOTLE CORP","NASDAQ","0001216924"
"ARKR","ARK RESTAURANTS","NASDAQ","0000779544"
"ABFS","ARKANSAS BEST OR","NASDAQ","0000894405"
"ARMHY","ARM HOLDINGS ADR","NASDAQ","0001057997"
"ARTX","AROTECH","NASDAQ","0000916529"
"ARQL","ARQULE ORD","NASDAQ","0001019695"
"ARRY","ARRAY BIOPHARMA ORD","NASDAQ","0001100412"
"ARRS","ARRIS GROUP ORD","NASDAQ","0001141107"
"AROW","ARROW FINANCIAL ORD","NASDAQ","0000717538"
"ARRO","ARROW INTL ORD","NASDAQ","0000886046"
"ARWR","ARROWHEAD RSCH ORD","NASDAQ","0000879407"
"ARTG","ART TECH GROUP","NASDAQ","0001086195"
"ARTE","ARTES MEDICAL ORD","NASDAQ","0001351197"
"ARTNA","ARTESIAN RES A","NASDAQ","0000863110"
"ARTC","ARTHROCARE CORP ORD","NASDAQ","0001005010"
"ARTW","ARTS WAY MFG","NASDAQ","0000007623"
"ARUN","ARUBA NETWORKS ORD","NASDAQ","0001173752"
"ASTT","ASAT HOLDINGS ADR","NASDAQ","0001102384"
"ASTI","ASCENT SOLAR TECHNOLOGIES ORD","NASDAQ","1350102"
"ASTSF","ASE TEST ORD","NASDAQ","0001014838"
"ASHW","ASHWORTH INC","NASDAQ","0000820774"
"ASIA","ASIAINFO HLDGS ORD","NASDAQ","0001100969"
"ASMI","ASM INTL ORD","NASDAQ","0000351483"
"ASML","ASML HOLDING ORD","NASDAQ","0000937966"
"ASPM","ASPECT MEDICAL ORD","NASDAQ","0000886235"
"AZPN","ASPEN TECH ORD","NASDAQ","0000929940"
"ASPV","ASPREVA PHARMA ORD","NASDAQ","0001314026"
"AACC","ASSET ACCEPTANCE ORDINARY","NASDAQ","0001264707"
"ASBC","ASSOC BANCORP ORD","NASDAQ","0000007789"
"ASFI","ASTA","NASDAQ","0001001258"
"ATEA","ASTEA INTL ORD","NASDAQ","0000945989"
"ASTE","ASTEC INDUSTRIES ORD","NASDAQ","0000792987"
"ALOT","ASTRO-MED INC","NASDAQ","0000008146"
"ATRO","ASTRONICS","NASDAQ","0000008063"
"ASYT","ASYST TECH INC ORD","NASDAQ","0001013857"
"APAT","ATA ENTERPRISE ORD","NASDAQ","796505"
"ATAR","ATARI ORD","NASDAQ","0001002607"
"AGIX","ATHEROGENICS ORD","NASDAQ","0001107601"
"ATHR","ATHEROS COMMS ORDINARY","NASDAQ","0001140486"
"AAME","ATLANTIC AMER","NASDAQ","0000008177"
"ATBC","ATLANTIC BANCGRP ORD","NASDAQ","0001087790"
"ACFC","ATLANTIC COAST ORD","NASDAQ","0001284077"
"ASFN","ATLANTIC SOUTHRN FINANCIAL GROUP ORD","NASDAQ","1313730"
"ATNI","ATLANTIC TEL NET","NASDAQ","0000879585"
"ATPL","ATLANTIS GROUP ORD","NASDAQ","0000811828"
"AAWW","ATLAS AIR WORLD","NASDAQ","1135185"
"ATLS","ATLAS AMERICA ORD","NASDAQ","0001279228"
"APCFY","ATLAS SOUTH SEA PEARL ADR","NASDAQ","0000824828"
"ATML","ATMEL ORD","NASDAQ","0000872448"
"ATMI","ATMI ORD","NASDAQ","0001041577"
"ATPG","ATP OIL GAS ORD","NASDAQ","0001123647"
"ATRC","ATRICURE ORD","NASDAQ","0001323885"
"ATRI","ATRION CORP","NASDAQ","0000701288"
"ATSI","ATS MEDICAL","NASDAQ","0000824068"
"ATTU","ATTUNITY ORD","NASDAQ","0000893821"
"AUBN","AUBURN NATL","NASDAQ","0000750574"
"ADBL","AUDIBLE ORD","NASDAQ","0001077926"
"AUDC","AUDIOCODES ORD","NASDAQ","0001086434"
"VOXX","AUDIOVOX A ORD","NASDAQ","0000807707"
"ADAT","AUTHENTIDT HLDG ORD","NASDAQ","0000885074"
"ABTL","AUTOBYTEL INC ORD","NASDAQ","0001023364"
"ADSK","AUTODESK ORD","NASDAQ","0000769397"
"AUXL","AUXILIUM PHARM ORD","NASDAQ","1182129"
"AVRX","AVALON PHARMA ORD","NASDAQ","0001162192"
"AVNX","AVANEX CORP","NASDAQ","0001056794"
"AVNR","AVANIR PHARMACEUTICALS CLASS A ORD","NASDAQ","0000858803"
"AVAN","AVANT IMMUNOTHR","NASDAQ","0000744218"
"AVTR","AVATAR HLDS","NASDAQ","0000039677"
"AVII","AVI BIOPHARMA ORD","NASDAQ","0000873303"
"AVCI","AVICI SYSTEMS ORD","NASDAQ","0001094895"
"AVID","AVID TECH ORD","NASDAQ","0000896841"
"AVGN","AVIGEN INC","NASDAQ","0000932903"
"AVSR","AVISTAR COMMS ORD","NASDAQ","0001111632"
"AVZA","AVIZA TECHNOLOGY","NASDAQ","0001311396"
"AVCT","AVOCENT ORD","NASDAQ","0001109808"
"AWRE","AWARE INC","NASDAQ","0001015739"
"AXCA","AXCAN PHARMA ORD","NASDAQ","0001116094"
"ACLS","AXCELIS TECHNOLOGIES ORD","NASDAQ","0001113232"
"AXYS","AXSYS TECH","NASDAQ","0000206030"
"AXTI","AXT INC","NASDAQ","0001051627"
"POSH","BABYUNIVERSE","NASDAQ","0001325118"
"BYBI","BACK YARD","NASDAQ","0000901495"
"BIDU","BAIDU.COM ADR","NASDAQ","0001329099"
