"name","symbol","CIK"
"DECODE GENETICS","DCGN","0001022974"
"DECOMA INTL","DECA","1226922"
"DECTRON INTL","DECT","0001066042"
"DELCATH SYSTEMS","DCTH","0000872912"
"DELIAS STK A","DLIA","0001337885"
"DELL COMPUTER","DELL","0000826083"
"DELPHAX TECH","DLPX","0000350692"
"DELTA GALILEE ADR","DELT","0001081022"
"DELTA NAT GAS","DGAS","0000277375"
"DELTA PETE","DPTR","0000821483"
"DELTAGEN","DGEN","0001034072"
"DELTATHREE","DDDC","0001086740"
"DENDREON","DNDN","0001107332"
"DENDRITE INTL","DRTE","0000880321"
"DENISON INTL ADR","DENHY","1042598"
"DENTSPLY INTL","XRAY","0000818479"
"DESCARTES SYSTEM","DSGX","0001050140"
"DESERT COMM BANK","DCBK","0001107214"
"DESWELL INDS","DSWL","0000946936"
"DETREX","DTRX","0000028372"
"DETWILER MITCHEL","DMCO","746425"
"DEVCON INTL","DEVC","0000028452"
"DF CHINA TECH","DFCT","1021126"
"DIACRIN","DCRN","887137"
"DIALOG SEMICONDUCTOR ADR","DLGS","0001116581"
"DIALYSIS AMER","DCAI","0000201653"
"DIAMETRICS MED","DMED","895380"
"DIAMOND HILL IN","DHIL","0000909108"
"DIAMONDCLUSTER STK A","DTPI","0000924940"
"DIANON SYSTEMS","DIAN","779282"
"DICE","DICEC","0001393883"
"DICKIE WALKER","DWMA","1138724"
"DIEDRICH COFFEE","DDRX","0000947661"
"DIGENE","DIGE","0001011582"
"DIGEX","DIGX","1085098"
"DIGI GEN SYST","DGIT","0000934448"
"DIGI INTL","DGII","0000854775"
"DIGIMARC","DMRC","0001089443"
"DIGITAL FUSION","DIGF","0001057257"
"DIGITAL IMPACT","DIGI","0001095105"
"DIGITAL INSIGHT","DGIN","0001037275"
"DIGITAL LIGHTW","DIGL","0001016100"
"DIGITAL RECORD","TBUS","0000853695"
"DIGITAL RIVER","DRIV","0001062530"
"DIGITAL VIDEO","DVID","0001009395"
"DIGITALTHINK","DTHK","1100514"
"DIGITAS","DTAS","0001100885"
"DIME COMMUNITY","DCOM","0001005409"
"DIODES","DIOD","0000029002"
"DIONEX","DNEX","0000708850"
"DIRECT INSITE","DIRI","0000879703"
"DISC","DCSR","0000891788"
"DISCOVERY LABS","DSCO","0000946486"
"DISCOVERY PTNRS","DPII","0001113148"
"DITECH COMMS","DITC","0001080667"
"DIVERSA","DVSA","0001049210"
"DIVERSINET","DVNTC","918387"
"DIVINE STK A","DVIN","1097516"
"DIXIE GROUP","DXYN","0000029332"
"DMI FURNITURE","DMIF","225261"
"DOCENT","DCNT","1043134"
"DOCUCORP INTL","DOCC","0001033864"
"DOCUMENT SCIENCE","DOCX","0001016831"
"DOCUMENTUM","DCTM","930885"
"DOLLAR TREE","DLTR","0000935703"
"DOMINION HOMES","DHOM","0000917857"
"DONEGAL GROUP","DGICA","0000800457"
"DONEGAL GROUP","DGICB","800457"
"DOREL INDUSTRIES STK B","DIIBF","843405"
"DOUBLE EAGLE","DBLE","0000029834"
"DOUBLECLICK","DCLK","0001049480"
"DOV PHARMA","DOVP","0001066833"
"DPAC TECHNOLOGIES CORP (USA)","DPAC","0000784770"
"DRAXIS HEALTH","DRAX","0000845802"
"DRESS BARN","DBRN","0000717724"
"DREXLER TECH","DRXR","30140"
"DREYERS GRAND","DRYR","0001189712"
"DRUGMAX","DMAX","921878"
"DRUGSTORE COM","DSCM","0001086467"
"DSG INTL","DSGIF","883230"
"DSI TOYS","DSIT","1034257"
"DSL NET","DSLN","0001085866"
"DSP GROUP","DSPG","0000915778"
"DT INDS","DTII","918999"
"DTA HOLDING ADR","DTAGY","1049108"
"DUCKWALL ALCOW","DUCK","0000030302"
"DUPONT PHOTOMSK","DPMI","0001012128"
"DURA AUTO SYS","DRRA","0001016177"
"DURASWITCH INDS","DSWT","0001054070"
"DURATEK","DRTK","0000785186"
"DURBAN DEEP ADR","DROOY","0001023512"
"DURECT","DRRX","0001082038"
"DUSA PHARM","DUSA","0000879993"
"DUTCHFORK BANCSHARES","DFBS","1107710"
"DXP ENTERPRISES","DXPE","0001020710"
"DYAX","DYAX","0000907562"
"DYNACQ INTL","DYII","0000890908"
"DYNAMIC MATRL","BOOM","0000034067"
"DYNAMIC OIL GAS STK F","DYOLF","0000847535"
"DYNAMICS RSC","DRCO","0000030822"
"DYNATRONICS","DYNT","0000720875"
"DYNTEK","DYTK","879465"
"E COM VENTURES","ECMV","0000880460"
"E LOAN","EELN","0001082337"
"E PIPHANY","EPNY","0001089613"
"EAGLE BANCORP","EGBN","0001050441"
"EAGLE FOOD CTR","EGLE","0001322439"
"EAGLE SUPPLY GP","EEGL","1016959"
"EARTHLINK","ELNK","0001102541"
"EARTHSHELL","ERTH","911801"
"EAST PENN BANK","EPEN","0001220483"
"EAST WEST BANCP","EWBC","0001069157"
"EASYLINK SVCS STK A","EASY","0001081661"
"EATERIES","EATS","796369"
"EBAY","EBAY","0001065088"
"EBENX","EBNX","1095825"
"EBIX COM","EBIX","0000814549"
"EBOOKERS ADR","EBKR","0001098128"
"ECB BANCORP","ECBE","0001066254"
"ECHELON","ELON","0000031347"
"ECHOSTAR COMM STK A","DISH","0001001082"
"ECI TELECOM","ECIL","0000701544"
"ECILPSYS","ECLP","0001034088"
"ECOLLEGE COM","ECLG","0001085653"
"ECTEL","ECTX","1096197"
"EDAP TMS ADR","EDAP","0001041934"
"EDELBROCK","EDEL","0000929037"
"EDEN BIOSCIENCE","EDEN","0000930095"
"EDGAR ONLINE","EDGR","0001080224"
"EDGE PETROLEUM","EPEX","0001021010"
"EDGEWATER TECH","EDGW","0001017968"
"EDISON SCHOOLS","EDSN","1089567"
"EDUCATION MGMT","EDMC","0000880059"
"EDUCATIONAL DEV","EDUC","0000031667"
"EFUNDS","EFDS","0001109190"
"EGAIN COMMS","EGAN","0001066194"
"EGL","EAGL","0001001718"
"EIDOS ADR","EIDSY","0001002717"
"ELAMEX SA DE CV","ELAM","0001009302"
"ELBIT MEDICAL","EMITF","0001027662"
"ELBIT SYSTEMS","ESLT","0001027664"
"ELBIT VISION","EVSN","1011664"
"ELDER BEERMAN","EBSC","32020"
"ELECTRIC FUEL","EFCX","916529"
"ELECTRO","ESIO","0000726514"
"ELECTRO RENT","ELRC","0000032166"
"ELECTRO SENSORS","ELSE","0000351789"
"ELECTROGLAS","EGLS","0000902281"
"ELECTROLUX ADR","ELUX","1354582"
"ELECTRONIC ARTS","ERTS","0000712515"
"ELECTRONIC CLEAR","ECHO","0000721773"
"ELECTRONICS IMAG","EFII","0000867374"
"ELITE INFO GRP","ELTE","885533"
"ELIZABETH ARDEN","RDEN","0000095052"
"ELMER'S RESTS","ELMS","771214"
"ELMIRA SVGS BANK","ESBK","877808"
"ELOQUENT","ELOQ","1003265"
"ELOYALTY","ELOY","0001094348"
"ELRON ELTR","ELRN","0000315126"
"ELTEK","ELTK","1024672"
"ELTR BOUTIQUE","ELBO","0001057746"
"ELXSI","ELXS","712843"
"EMBARCADERO TECH","EMBT","0001107112"
"EMBREX","EMBX","0000878725"
"EMC INSURANCE","EMCI","0000356130"
"EMCO","EMLTF","920982"
"EMCORE","EMKR","0000808326"
"EMERGE INTERACT","EMRG","0001092605"
"EMISPHERE","EMIS","0000805326"
"EMMIS COMMS STK A","EMMS","0000783005"
"EMPIRE FED BANC","EFBC","1023283"
"EMS TECH","ELMG","0000032198"
"EN POINTE TECH","ENPT","0001010305"
"ENCORE MEDICAL","ENMC","0000944763"
"ENCORE WIRE","WIRE","0000850460"
"ENDO PHARM HLDGS","ENDP","0001100962"
"ENDOCARDIAL SOL","ECSI","0001083638"
"ENDOLOGIX","ELGX","0001013606"
"ENDWAVE","ENWV","0001118941"
"ENERGY CONV","ENER","0000032878"
"ENERGY WEST","EWST","0000043350"
"ENERGYSOUTH","ENSI","0001051286"
"ENG SUPPORT","EASI","0000772891"
"ENGEL GENL DEV","ENGEF","1045974"
"ENSTAR GROUP","ESGR","0000055820"
"ENTEGRIS","ENTG","0001101302"
"ENTERAA ENERGY","EENC","1116377"
"ENTREMED","ENMD","0000895051"
"ENTROPIN","ETOP","0000837600"
"ENTRUST INC","ENTU","0001031283"
"ENTRX","ENTX","0000013547"
"ENVIROGEN","ENVG","863815"
"ENVOY COMM GP","ECGI","0001031516"
"ENZON","ENZN","0000727510"
"EON COMMS","EONC","0001084752"
"EON LABS","ELAB","0001168061"
"EP MEDSYSTEMS","EPMD","0001012394"
"EPICOR SOFTWARE","EPIC","0000891178"
"EPIMMUNE","EPMN","822206"
"EPIQ SYSTEMS","EPIQ","0001027207"
"EPIX MEDICAL","EPIX","0001027702"
"EPLUS","PLUS","0001022408"
"EPOCH BIOSCI","EBIO","910057"
"EPRESENCE","EPRE","888711"
"EQUITABLE BANK","EQSB","0001128633"
"EQUITEX","EQTX","716101"
"EQUITY MARKETING","EMAK","0000911151"
"EQUITY OIL","EQTY","33325"
"ERESEARCHTECH","ERES","0001026650"
"ERIE INDEMNITY STK A","ERIE","0000922621"
"EROOM SYS TECH","ERMS","0001110361"
"ESB FINANCIAL","ESBF","0000872835"
"ESCALADE","ESCA","0000033488"
"ESCALON MEDICAL","ESMC","0000862668"
"ESG RE LTD","ESREE","1049624"
"ESPEED","ESPD","0001094831"
"ESPERION THERA","ESPR","1066745"
"ESS TECHNOLOGY","ESST","0000907410"
"ESSENTIAL THERA","ETRX","354212"
"ESTRN VIRGINIA","EVBS","0001047170"
"EUNIVERSE","EUNI","1088244"
"EURO TECH HLDGS","CLWT","0001026662"
"EURONET WRLDWDE","EEFT","0001029199"
"EUROTRUST AS ADR","EURO","1041457"
"EUROWEB INTL","EWEB","905428"
"EVANS & SUTHERL","ESCC","0000276283"
"EVANS BANCORP","EVBN","0000842518"
"EVCI CAREER COLL","EVCI","0001065591"
"EVERCEL","EVRC","0001071119"
"EVERGREEN SOLAR","ESLR","0000947397"
"EVERLAST WORLDW","EVST","0000934795"
"EVERTRUST FINL","EVRT","1088514"
"EVOLVE SOFTWARE","EVLV","1097002"
"EVOLVING SYSTEMS","EVOL","0001052054"
"EXABYTE","EXBT","855109"
"EXACT SCIENCES","EXAS","0001124140"
"EXACTECH","EXAC","0000913165"
"EXAR","EXAR","0000753568"
"EXCEL TECHNOLOGY","XLTC","0000873603"
"EXCELLIGENCE","LRNS","0001130950"
"EXCH NATL BANC","EXJF","0000893847"
"EXCO RES","EXCO","316300"
"EXE TECHNOLOGIES","EXEED","1047262"
"EXELIXIS","EXEL","0000939767"
"EXFO ELECTRO OPT","EXFO","0001116284"
"EXPEDIA","EXPE","0001324424"
"EXPEDITORS","EXPD","0000746515"
"EXPLORATION CO","TXCO","0000313395"
"EXPONENT","EXPO","0000851520"
"EXPRESS SCRIPTS","ESRX","0000885721"
"EXTENDED SYSTEMS","XTND","0001051490"
"EXTENSITY","EXTN","1096473"
"EXTREME NETWRKS","EXTR","0001078271"
"EXULT","EXLT","1108341"
"EZCORP","EZPW","0000876523"
"EZENIA","EZEN","0000943894"
"F & M","FMBN","736473"
"F A O INC","FAOOQ","0000878720"
"F&P HEALTHCARE ADR","FPHC","1085505"
"F5 NETWORKS","FFIV","0001048695"
"FACTORY 2U STRS","FTUS","813775"
"FACTUAL DATA","FDCC","1111696"
"FAIRMARKET","FAIM","0001053676"
"FALCONSTORE SFTW","FALC","0000922521"
"FAMILY STEAK HS","RYFL","1303531"
"FAMOUS DAVES","DAVE","0001021270"
"FARGO ELECTRNCS","FRGO","0001098834"
"FARMER BROS","FARM","0000034563"
"FARMERS CAPITOL","FFKT","0000713095"
"FARO TECHNOLOG","FARO","0000917491"
"FASTENAL","FAST","0000815556"
"FASTNET","FSST","1092536"
"FAUQUIER BANK","FBSS","0001083643"
"FEATHERLITE","FTHR","0000928064"
"FEDERAL SCREW","FSCR","34908"
"FEDERAL TRUST","FDTR","842640"
"FEI COMPANY","FEIC","0000914329"
"FFD FINL","FFDF","0001006177"
"FFLC BANCORP","FFLC","0000912738"
"FFW","FFWC","895401"
"FIBERCORE","FBCE","0000917770"
"FIBERNET TELECOM","FTGX","0001001868"
"FIBRESTARS","FBST","0000813056"
"FIDELITY","FNIS","888793"
"FIDELITY BANCORP","FSBI","0000769207"
"FIDELITY BANCP","FBCI","912219"
"FIDELITY BNKSH","FFFL","0001028336"
"FIDELITY FED","FFED","910492"
"FIDELITY NATL","LION","0000822662"
"FIFTH THIRD BANC","FITB","0000035527"
"FILENET","FILE","0000706015"
"FINANCIAL IND","FNIN","0000035733"
"FINDWHAT COM","FWHT","1094808"
"FINGER LAKES","FLBC","352825"
"FINISAR","FNSR","0001094739"
"FINISH LINE","FINL","0000886137"
"FINISHMASTER","FMST","0000917321"
"FINL INSTITUTNS","FISI","0000862831"
"FINLAY ENTER","FNLY","0000878731"
"FIR MIDWEST FIN","CASH","0000907471"
"FIREPOND","FIRE","0001168195"
"FIRST ALBANY","FACT","0000782842"
"FIRST BANCP IN","FBEI","0001074543"
"FIRST BANCTRUST","FBTC","0001129847"
"FIRST BELL BANC","FBBC","932697"
"FIRST BUSEY","BUSE","0000314489"
"FIRST CAPITAL","FCAP","0001070296"
"FIRST CASH FINL","FCFS","840489"
"FIRST CHARTER","FCTR","0000717306"
"FIRST CITIZENS STK A","FCNCA","0000798941"
"FIRST COLONIAL","FTCG","714719"
"FIRST COMM BANC","FCBC","0000859070"
"FIRST COMMUNITY","FCCO","0000932781"
"FIRST CONSULTING","FCGI","0001049758"
"FIRST DEFIANCE","FDEF","0000946647"
"FIRST ESSEX","FESX","808246"
"FIRST FED","FFKY","0000854395"
"FIRST FED CAP","FTFC","851207"
"FIRST FED OHIO","FFBZ","885076"
"FIRST FIN HLDS","FFCH","0000787075"
"FIRST FIN INDIAN","THFF","0000714562"
"FIRST FINANCIAL","FFBC","0000708955"
"FIRST FRANKLIN","FFHS","0000742161"
"FIRST GEORGIA","FGHC","826491"
"FIRST HEALTH","FHCC","812910"
"FIRST INDIANA","FINB","0000789670"
"FIRST LONG ISL","FLIC","0000740663"
"FIRST M F","FMFC","0000320387"
"FIRST MERCHANTS","FRME","0000712534"
"FIRST MIDWEST","FMBI","0000702325"
"FIRST MUTUAL","FMSB","0001098337"
"FIRST NILES FINL","FNFI","0001065823"
"FIRST OAK BROOK","FOBB","0000717837"
"FIRST PACTRUST","FPTB","0001169770"
"FIRST PRF CAP UN","FBNKM","0000710507"
"FIRST REGIONAL","FRGB","0000356708"
"FIRST SENTINEL","FSLA","1051092"
"FIRST SO BANCP","FSBK","0001027183"
"FIRST STATE BNCP","FSNM","0000897861"
"FIRST UTD","FUNC","0000763907"
"FIRST VIRTUAL","FVCX","920317"
"FIRSTBANK","FBMI","0000778972"
"FIRSTBANK NW","FBNW","0001035513"
"FIRSTCITY FINL","FCFC","0000828678"
"FIRSTMERIT","FMER","0000354869"
"FIRSTSERVICE","FSRV","0000913353"
"FIRSTWAVE TECH","FSTW","0000897078"
"FISCHER IMAGING","FIMG","0000750901"
"FISERV","FISV","0000798354"
"FISHER COMMS","FSCI","0001034669"
"FLAG FINANCIAL","FLAG","0000897509"
"FLAMEL TECHNOL ADR","FLML","0001012477"
"FLAMEMASTER","FAME","0000037358"
"FLANDERS","FLDR","0000799526"
"FLEXSTEEL","FLXS","0000037472"
"FLEXTRONICS INTL","FLEX","0000866374"
"FLIR SYSTEMS","FLIR","0000354908"
"FLORIDA BANKS","FLBK","1058802"
"FLORIDAFIRST","FFBK","1123276"
"FLOW INTL","FLOW","0000713002"
"FLUSHING FINL","FFIC","0000923139"
"FMS FINANCIAL","FMCO","0000839845"
"FNB CORP FL","FBAN","37808"
"FNB FINCL SVCS","FNBF","0000742679"
"FNB NC","FNBN","0000764811"
"FNB VA","FNBP","0001010961"
"FOAMEX INTL INC","FMXI","912908"
"FOCUS ENHANC","FCSE","0000884719"
"FOG CUTTER CAP","FCCG","0001048566"
"FONAR","FONR","0000355019"
"FOOD TECH SVC","VIFL","0000868267"
"FOOTHILL IND","FOOT","0000718903"
"FORBES MEDI","FMTI","0001087477"
"FORGENT NETWORKS","FORG","0000884144"
"FORMULA SYSTEMS ADR","FORTY","0001045986"
"FORRESTER RESEA","FORR","0001023313"
"FORWARD AIR","FWRD","0000912728"
"FORWARD INDS","FORD","0000038264"
"FOSSIL","FOSL","0000883569"
"FOTOBALL USA","FUSA","922251"
"FOUNDRY NETWRKS","FDRY","0001090071"
"FOUNTAIN PWRBOAT","FPWR","764858"
"FPIC INSURANCE","FPIC","0001010247"
"FRANKFORT FST","FKKY","930182"
"FRANKLIN","FELE","0000038725"
"FRANKLIN BANCP","FBCP","1199025"
"FRANKLIN FINL","FNFN","846903"
"FREDS","FRED","0000724571"
"FREEMARKETS","FMKT","949968"
"FRESH BRANDS","FRSH","0001135431"
"FRESH CHOICE","SALD","893741"
"FRIEDMANS STK A","FRDM","911004"
"FRISCO BAY INDS","FBAY","0000909955"
"FRONTIER AIR","FRNT","0000921929"
"FRONTIER FINL","FTBK","0000716457"
"FRONTSTEP","FSTP","0000872443"
"FROZEN FOOD","FFEX","0000039273"
"FRST FEDL BANCSH","FFBI","0001113107"
"FSF FINANCIAL","FFHH","924370"
"FSI INTL","FSII","0000841692"
"FST AVIATION SV","FAVS","0001025743"
"FST BANCSHARES","FBSI","0000912967"
"FST CITIZNS BANC","FCZA","0000944745"
"FST CMNTY BANCP","FCBP","0001102112"
"FST FED BANC ARK","FFBH","0001006424"
"FST FED BNKSHS","FFSX","0001075348"
"FST FIN BNKSHRS","FFIN","0000036029"
"FST HORIZON PHM","FHRX","0001106773"
"FST INDEPENDENCE","FFSL","0000908486"
"FST INVEST FINL","FIFS","0000948034"
"FST KANSAS FINL","FKAN","1056811"
"FST KEYSTONE","FKFS","0000856751"
"FST MARINER BNCP","FMAR","0000946090"
"FST NATL BNSHRS","FBMT","0001067077"
"FST NIAGARA FINL","FNFGD","1051741"
"FST NTL LINCOLN","FNLC","0000765207"
"FST PLACE FINL","FPFC","0001068912"
"FST SECFED FINL","FSFF","1042534"
"FSTFED BANCORP","FFDB","0000876947"
"FTD COM STK A","FTDI","944537"
"FUEL TECH","FTEK","0000846913"
"FUELCELL ENERGY","FCEL","0000886128"
"FUJI PHOTO FILM ADR","FUJIY","0000800365"
"FULTON FINANCIAL","FULT","0000700564"
"FUNDTECH","FNDT","0001054836"
"FUTUREMEDIA ADR","FMDAY","906476"
"FX ENERGY","FXEN","0000907649"
"G III APPAREL","GIII","0000821002"
"G WILLI FOOD","WILCF","1030997"
"G&K SERVICES STK A","GKSRA","0000039648"
"GADZOOKS","GADZ","924140"
"GAIAM STK A","GAIA","0001089872"
"GALEN HOLDINGS ADR","GALN","0001273696"
"GALLERY OF HIST","HIST","0000763730"
"GALYANS TRADING","GLYN","1137067"
"GAMETECH INTL","GMTC","0001045014"
"GARDEN FRESH","LTUS","1292087"
"GARMIN","GRMN","0001121788"
"GART SPORTS","GRTS","0000912262"
"GATEWAY FIN HLD","GBTS","0001156953"
"GB & T BANCSHARE","GBTB","0001061068"
"GBC BANCORP","GBCB","351710"
"GEERLINGS WADE","GEER","0000922810"
"GEHL","GEHL","0000856386"
"GEMPLUS INTL ADR","GEMP","0001128749"
"GEMSTAR TV GUIDE","GMSTE","923282"
"GEN COMM STK A","GNCMA","808461"
"GEN PROBE","GPRO","0000820237"
"GENAERA","GENR","0000880431"
"GENAISSANCE PHARM","GNSC","0001110009"
"GENE LOGIC","GLGC","0001043914"
"GENELABS TECHS","GNLB","0000874443"
"GENENCOR INTL","GCOR","0001113099"
"GENERAL BEARING","GNRL","1026221"
"GENERAL BIND","GBND","0000040461"
"GENEREX BIOTECH","GNBT","0001059784"
"GENESEE STK B","GENBB","0000040934"
"GENESIS HEALTH","GHVI","1236736"
"GENESIS MICRO","GNSS","0001053782"
"GENESYS SA ADR","GNSY","0001125276"
"GENLYTE","GLYT","0000833076"
"GENOME THERA","GENE","0001166272"
"GENTA","GNTA","0000880643"
"GENTEX","GNTX","0000355811"
"GENTIVA HEALTH WI","GTIV","0001096142"
"GENUS","GGNS","837913"
"GENVEC","GNVC","0000934473"
"GENZYME BIOSURG TRK","GZBX","0000732485"
"GENZYME GEN","GENZ","0000732485"
"GENZYME MOLECLR TRK","GZMO","0000732485"
"GEORESOURCES","GEOI","0000041023"
"GERMAN AMERICAN","GABC","0000714395"
"GERON","GERN","0000886744"
"GEVITY HR","GVHR","0001035185"
"GFSB BANCORP","GUPB","0000942129"
"GIBRALTAR STEEL","ROCK","0000912562"
"GIGA TRONICS","GIGA","0000719274"
"GIGAMEDIA","GIGM","0001105101"
"GILAT SATELLITE","GILTF","0000897322"
"GILEAD SCIENCES","GILD","0000882095"
"GISH BIOMEDICAL","GISH","700945"
"GIVEN IMAGING","GIVN","0001126140"
"GLACIER BANCORP","GBCI","0000868671"
"GLADSTONE CAP","GLAD","0001143513"
"GLB BANCORP","GLBK","1054538"
"GLB IMAGING SYS","GISX","0001050167"
"GLBL PAYMT TECH","GPTX","0000933020"
"GLEN BURNIE BNC","GLBZ","0000890066"
"GLENAYRE TECH","GEMS","808918"
"GLOBAL E POINT","GEPT","0000896195"
"GLOBAL IND","GLBL","0000895663"
"GLOBAL SOURCES","GSOL","0001110650"
"GLOBECOMM SYS","GCOM","0001031028"
"GLOBESPANVIRATA","GSPN","1081197"
"GLYCOGENESYS","GLGS","0000946661"
"GMX RSCS","GMXR","0001127342"
"GOAMERICA","GOAM","0001101268"
"GOLD BANC","GLDB","0001015610"
"GOLDEN ENTER","GLDC","0000042228"
"GOLDEN STATE VIN STK B","VINT","1059581"
"GOLDEN TELECOM","GLDN","0001089874"
"GOOD GUYS","GGUY","785931"
"GOOD TIMES","GTIM","0000825324"
"GOODYS FAMILY","GDYS","0000879123"
"GP FIN GALICIA","GGAL","0001114700"
"GR DEL VALLEY","ALLB","1373079"
"GRAND CNTRL FINL","GCFC","1070680"
"GRAND TOYS INTL","GRIN","814463"
"GRANITE CITY FD","GCFB","0001048620"
"GRANITE STATE","GSBI","792360"
"GRANITE STK K","GBTVK","839621"
"GRAPHON","GOJO","0001021435"
"GREAT AMER BNCP","GTPS","943064"
"GREAT PEE DEE","PEDE","0001046587"
"GREAT SOUTHERN","GSBC","0000854560"
"GREATER ATL FINL","GAFC","0001082735"
"GREATER BAY BANC","GBBK","0000775473"
"GREATER COMM BP","GFLS","0000773845"
"GREEN MTN COFFEE","GMCR","0000909954"
"GREENE CNTY BNCP","GCBC","0001070524"
"GREG MANNING","GMAI","895516"
"GREKA ENERGY","GRKA","840402"
"GREY GLOBAL GROUP","GREY","43952"
"GRIC COMMS","GRIC","0001059155"
"GRIFFIN LD NURS","GRIF","0001037390"
"GRILL CONCEPTS","GRIL","0000895041"
"GRNE CNTY BNCSHR","GCBS","0000764402"
"GROUP 1 SOFTWARE","GSOF","23055"
"GS FINANCIAL","GSLA","0001029630"
"GSI COMMERCE","GSIC","0000828750"
"GSI LUMONICS","GSLI","1076930"
"GTC BIOTHPTCS","GTCB","0000904973"
"GTSI","GTSI","0000850483"
"GUARANTY BANCSH","GNTY","0001058867"
"GUARANTY FED BNC","GFED","0001046203"
"GUARANTY FINC","GSLC","919967"
"GUILFORD PHARM","GLFD","0000918066"
"GUITAR CENTER","GTRC","0001021113"
"GULF ISLAND","GIFI","0001031623"
"GULFMARK OFFSHR","GMRK","0001030749"
"GYMBOREE","GYMB","0000786110"
"GYRODYNE","GYRO","0000044689"
"H POWER","HPOW","1094959"
"H T E","HTEI","1010655"
"HABERSHAM","HABC","0000754597"
"HAGGAR","HGGR","0000892533"
"HAIN CELESTIAL","HAIN","0000910406"
"HALL KINION","HAKI","1009657"
"HAMSHIRE GRP","HAMP","0000887150"
"HANARO TELECOM ADR","HANA","0001108838"
"HANCOCK HOLDING","HBHC","0000750577"
"HANDSPRING","HAND","1091822"
"HANMI FINANCIAL","HAFC","0001109242"
"HANSEN NATURAL","HANS","0000865752"
"HARBOR FL BNSHR","HARB","0001029407"
"HARDINGE","HDNG","0000313716"
"HARLEY SVGS FINL","HARL","0001107160"
"HARLEYSVILLE GRP","HGIC","0000792013"
"HARLEYSVILLE NAT","HNBC","0000702902"
"HARMONIC","HLIT","0000851310"
"HARRINGTON WEST","HWFG","0001063997"
"HARRIS & HARRIS","TINY","0000714504"
"HARRIS INTERACT","HPOL","0001094238"
"HARRODSBURG FST","HFFB","946738"
"HARVARD BIOSCI","HBIO","0001123494"
"HARVEY ELECTR","HRVE","0000046043"
"HASTINGS ENTERTAINMENT","HAST","0001054579"
"HAUPPAUGE DIG","HAUP","0000930803"
"HAVAS ADVERT ADR","HAVS","1107470"
"HAWKINS","HWKN","0000046250"
"HAWTHORNE FIN","HTHR","46267"
"HCB BANCSHARES","HCBB","1029740"
"HEADWATERS","HDWR","1003344"
"HEALTH MGMT SYS","HMSY","0001196501"
"HEALTHAXIS","HAXS","0000768892"
"HEALTHCARE SVCS","HCSG","0000731012"
"HEALTHCARE TECH","HCTL","835688"
"HEALTHETECH","HETC","1141215"
"HEALTHEXTRAS","HLEX","0001090403"
"HEALTHSTREAM","HSTM","0001095565"
"HEALTHTRONICS","HTRN","0001018871"
"HEARTLAND EXPR","HTLD","0000799233"
"HEI","HEII","0000351298"
"HEIDRICK STRUGG","HSII","0001066605"
"HELEN OF TROY","HELE","0000046675"
"HELIX TECHNOLOGY","HELX","46709"
"HEMAGEN DIAGNOST","HMGN","0000892822"
"HEMLOCK FED FIN","HMLK","1029654"
"HEMOSOL","HMSL","0001132907"
"HENRY SCHEIN","HSIC","0001000228"
"HERITAGE COMMERC","HTBK","0001053352"
"HERITAGE FINL","HFWA","0001046025"
"HERLEY INDS","HRLY","0000047035"
"HERMAN MILLER","MLHR","0000066382"
"HERZFELD CARIB","CUBA","880406"
"HESKA","HSKA","0001038133"
"HF FINANCE","HFFC","0000881790"
"HFB FINANCIAL","HFBA","0000892157"
"HI FN","HIFN","0001065246"
"HI TECH PHARM","HITK","0000887497"
"HIBBETT SPORTING","HIBB","0001017480"
"HIBERNIA FOODS ADR","HIBNY","879529"
"HICKOK STK A","HICKA","0000047307"
"HICKORY TECH","HTCO","0000766561"
"HIGH COUNTRY","HCBC","0001044676"
"HIGHWAY HLDG","HIHO","1026785"
"HINES HORTICULT","HORT","0001003515"
"HINGHAM INSTN","HIFS","700635"
"HIRSCH INTL STK A","HRSH","0000915909"
"HIVELD ADR","HSVLY","0000800630"
"HMN FINAN","HMNF","0000921183"
"HOLIDAY RV","RVEE","0000822076"
"HOLLIS EDEN PHAR","HEPH","0000899394"
"HOLLYWOOD ENTER","HLYW","0000905895"
"HOLLYWOOD MEDIA","HOLL","0000912544"
"HOLOGIC","HOLX","0000859737"
"HOME CITY FIN","HCFC","1022103"
"HOME FED SEYMOUR","HOMF","0000867493"
"HOME FINCL BNCP","HWEN","1009242"
"HOME LOAN FINL","HLFC","0001050894"
"HOME PRODUCTS","HOMZ","814457"
"HOMESTEAD BANCP","HSTD","0001059078"
"HOMESTORE COM","HOMS","0001085770"
"HOOKER FURNITURE","HOFT","0001077688"
"HOOVERS","HOOV","1036584"
"HOPFED BANCORP","HFBC","0001041550"
"HORIZON BANCORP","HBNC","0000706129"
"HORIZON FINCL","HRZB","0001002682"
"HORIZON GRP PROP","HGPI","0001060744"
"HORIZON HEALTH","HORC","0000935007"
"HORIZON OFFSHORE","HOFF","0001051431"
"HORIZON ORGANIC","HCOW","1041255"
"HOST AMERICA","CAFE","0000809012"
"HOT TOPIC","HOTT","0001017712"
"HOTELSCOM STK A","ROOM","1098322"
"HUB GROUP STK A","HUBG","0000940942"
"HUDSON CITY BCP","HCBK","0000921847"
"HUDSON RVR BANC","HRBT","1057007"
"HUDSON TECH","HDSN","0000925528"
"HUMAN GENOME","HGSI","0000901219"
